task_id,text,code,AI_code
398,Write a function to compute the sum of digits of each number of a given list.,"def sum_of_digits(nums):
    return sum(int(el) for n in nums for el in str(n) if el.isdigit())","```python
def sum_of_digits(lst):
    return [sum(int(digit) for digit in str(num)) for num in lst]
```"
399,Write a function to perform the mathematical bitwise xor operation across the given tuples.,"def bitwise_xor(test_tup1, test_tup2):
  res = tuple(ele1 ^ ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res) ","```python
def bitwise_xor_tuples(*tuples):
    result = 0
    for tup in tuples:
        result ^= tup[0]
    return result
```"
400,Write a function to extract the frequency of unique tuples in the given list order irrespective.,"def extract_freq(test_list):
  res = len(list(set(tuple(sorted(sub)) for sub in test_list)))
  return (res)","```python
from collections import Counter

def frequency_of_tuples(lst):
    """"""
    Returns a dictionary with unique tuples from the input list as keys and their frequencies as values.
    
    :param lst: A list of tuples
    :return: A dictionary where keys are unique tuples and values are their frequencies
    """"""
    return dict(Counter(tuple(sorted(i)) for i in lst))
```"
401,Write a function to perform index wise addition of tuple elements in the given two nested tuples.,"def add_nested_tuples(test_tup1, test_tup2):
  res = tuple(tuple(a + b for a, b in zip(tup1, tup2))
   for tup1, tup2 in zip(test_tup1, test_tup2))
  return (res) ","```python
def add_tuples(t1, t2):
    if len(t1) != len(t2):
        raise ValueError(""Both tuples must have the same length"")
    
    result = []
    for i in range(len(t1)):
        if not isinstance(t1[i], tuple) or not isinstance(t2[i], tuple):
            raise TypeError(""All elements of both tuples must be tuples themselves"")
        
        inner_result = []
        if len(t1[i]) != len(t2[i]):
            raise ValueError(""Inner tuples at index {} have different lengths"".format(i))
        
        for j in range(len(t1[i])):
            if not (isinstance(t1[i][j], int) and isinstance(t2[i][j], int)):
                raise TypeError(""All inner elements must be integers"")
            
            inner_result.append(t1[i][j] + t2[i][j])
        
        result.append(tuple(inner_result))
    
    return tuple(result)
```"
402,Write a function to compute the value of ncr%p.,"def ncr_modp(n, r, p): 
    C = [0 for i in range(r+1)]   
    C[0] = 1
    for i in range(1, n+1): 
        for j in range(min(i, r), 0, -1): 
            C[j] = (C[j] + C[j-1]) % p   
    return C[r] ","```python
import math

def power(x, y, p):
    res = 1
    x = x % p
    if (x == 0):
        return 0
    while (y > 0):
        if ((y & 1) == 1):
            res = (res * x) % p
        y = y >> 1
        x = (x * x) % p
    return res

def modInverse(n, p):
    return power(n, p - 2, p)

def nCrModPFermat(n, r, p):
    if (n < r):
        return 0
    if (r == 0):
        return 1
    fac = [0 for i in range(n + 1)]
    fac[0] = 1
    for i in range(1, n + 1):
        fac[i] = (fac[i - 1] * i) % p
    return (fac[n] * modInverse(fac[r], p) % p *
            modInverse(fac[n - r], p) % p)
```"
403,Write a function to check if a url is valid or not using regex.,"import re
def is_valid_URL(str):
	regex = (""((http|https)://)(www.)?"" +
			""[a-zA-Z0-9@:%._\\+~#?&//=]"" +
			""{2,256}\\.[a-z]"" +
			""{2,6}\\b([-a-zA-Z0-9@:%"" +
			""._\\+~#?&//=]*)"")
	p = re.compile(regex)
	if (str == None):
		return False
	if(re.search(p, str)):
		return True
	else:
		return False","```python
import re

def is_valid_url(url):
    pattern = r'^(https?:\/\/)?([\da-z\.-]+)\.([a-z\.]{2,6})([\/\w \.-]*)*\/?$'
    if re.match(pattern, url):
        return True
    else:
        return False
```"
404,Write a python function to find the minimum of two numbers.,"def minimum(a,b):   
    if a <= b: 
        return a 
    else: 
        return b ","```python
def find_min(num1, num2):
    if num1 < num2:
        return num1
    else:
        return num2
```"
405,Write a function to check whether an element exists within a tuple.,"def check_tuplex(tuplex,tuple1): 
  if tuple1 in tuplex:
    return True
  else:
     return False","```python
def check_element_in_tuple(element, tup):
    return element in tup
```"
406,Write a python function to find the parity of a given number.,"def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return (""Odd Parity""); 
    return (""Even Parity""); ","```python
def find_parity(n):
    parity = 0
    while n:
        parity ^= n & 1
        n >>= 1
    return 'even' if not parity else 'odd'
```"
407,Write a function to create the next bigger number by rearranging the digits of a given number.,"def rearrange_bigger(n):
    nums = list(str(n))
    for i in range(len(nums)-2,-1,-1):
        if nums[i] < nums[i+1]:
            z = nums[i:]
            y = min(filter(lambda x: x > z[0], z))
            z.remove(y)
            z.sort()
            nums[i:] = [y] + z
            return int("""".join(nums))
    return False","```python
def next_bigger(n):
    digits = [int(d) for d in str(n)]
    i = len(digits) - 2
    while i >= 0 and digits[i] >= digits[i + 1]:
        i -= 1
    if i < 0:
        return None
    j = len(digits) - 1
    while digits[j] <= digits[i]:
        j -= 1
    digits[i], digits[j] = digits[j], digits[i]
    left, right = digits[:i + 1], digits[i + 1:]
    right.sort()
    return int(''.join(map(str, left + right)))
```"
408,Write a function to find k number of pairs which consist of one element from the first array and one element from the second array.,"import heapq
def k_smallest_pairs(nums1, nums2, k):
   queue = []
   def push(i, j):
       if i < len(nums1) and j < len(nums2):
           heapq.heappush(queue, [nums1[i] + nums2[j], i, j])
   push(0, 0)
   pairs = []
   while queue and len(pairs) < k:
       _, i, j = heapq.heappop(queue)
       pairs.append([nums1[i], nums2[j]])
       push(i, j + 1)
       if j == 0:
           push(i + 1, 0)
   return pairs","```python
def k_pairs(arr1, arr2, k):
    if k == 0:
        return []
    
    if len(arr1) < len(arr2):
        shorter = sorted(arr1)
        longer = sorted(arr2)
    else:
        shorter = sorted(arr2)
        longer = sorted(arr1)

    pairs = []
    i, j = 0, 0
    while i < len(shorter) and j < len(longer) and len(pairs) < k:
        if shorter[i] + longer[j] <= 0:
            pairs.append((shorter[i], longer[j]))
            i += 1
        else:
            j += 1

    return pairs[:k]
```"
409,Write a function to find the minimum product from the pairs of tuples within a given list.,"def min_product_tuple(list1):
    result_min = min([abs(x * y) for x, y in list1] )
    return result_min","```python
def min_product(lst):
    if len(lst) < 2:
        raise ValueError(""The list must contain at least two tuples."")

    return min(a * b for (a, _), (_, b) in zip(lst, lst[1:]))
```"
410,Write a function to find the minimum value in a given heterogeneous list.,"def min_val(listval):
     min_val = min(i for i in listval if isinstance(i, int))
     return min_val","```python
def find_min_value(lst):
    try:
        min_val = None
        for item in lst:
            if isinstance(item, (int, float)):
                if min_val is None or item < min_val:
                    min_val = item
        return min_val
    except Exception as e:
        raise Exception(""An error occurred: "" + str(e))
```"
411,Write a function to convert the given snake case string to camel case string by using regex.,"import re
def snake_to_camel(word):
  return ''.join(x.capitalize() or '_' for x in word.split('_'))","```python
import re

def snake_to_camel(snake_case_string):
    return re.sub(r'_([a-z])', lambda match: match.group(1).upper(), snake_case_string)
```"
412,Write a python function to remove odd numbers from a given list.,"def remove_odd(l):
    for i in l:
        if i % 2 != 0:
            l.remove(i)
    return l","```python
def remove_odd_numbers(num_list):
    return [num for num in num_list if num % 2 == 0]
```"
413,Write a function to extract the nth element from a given list of tuples.,"def extract_nth_element(list1, n):
    result = [x[n] for x in list1]
    return result","```python
def extract_nth_element(tuples_list, n):
    if n < 1:
        raise ValueError(""n must be a positive integer"")
    try:
        return tuples_list[n-1]
    except IndexError:
        raise IndexError(""Index out of range for the given list of tuples"")
```"
414,Write a python function to check whether the value exists in a sequence or not.,"def overlapping(list1,list2):  
    c=0
    d=0
    for i in list1: 
        c+=1
    for i in list2: 
        d+=1
    for i in range(0,c): 
        for j in range(0,d): 
            if(list1[i]==list2[j]): 
                return 1
    return 0","```python
def value_exists(sequence, value):
    try:
        iter(sequence)
    except TypeError:
        raise ValueError(""Input sequence must be iterable"")

    return value in sequence
```"
415,Write a python function to find a pair with highest product from a given array of integers.,"def max_Product(arr): 
    arr_len = len(arr) 
    if (arr_len < 2): 
        return (""No pairs exists"")           
    x = arr[0]; y = arr[1]      
    for i in range(0,arr_len): 
        for j in range(i + 1,arr_len): 
            if (arr[i] * arr[j] > x * y): 
                x = arr[i]; y = arr[j] 
    return x,y    ","```python
def highest_product_pair(arr):
    if len(arr) < 2:
        raise ValueError(""Array must have at least two elements"")
    
    max1 = max2 = float('-inf')
    min1 = min2 = float('inf')

    for num in arr:
        if num > max1:
            max2 = max1
            max1 = num
        elif num < max1 and num > max2:
            max2 = num
        
        if num < min1:
            min2 = min1
            min1 = num
        elif num > min1 and num < min2:
            min2 = num
    
    return max(max1 * max2, min1 * min2)
```"
416,Write a function to find the maximum sum we can make by dividing number in three parts recursively and summing them up together for the given number.,"MAX = 1000000
def breakSum(n): 
	dp = [0]*(n+1) 
	dp[0] = 0
	dp[1] = 1
	for i in range(2, n+1): 
		dp[i] = max(dp[int(i/2)] + dp[int(i/3)] + dp[int(i/4)], i); 
	return dp[n]","```python
def max_sum(n):
    if n < 4:
        return n
    elif n % 3 == 0:
        return (n // 3) * 3
    elif n % 3 == 1:
        return max(max_sum(n - 2), max_sum((n - 2) // 3 + ((n - 2) % 3))) + 1
    else:
        return max(max_sum((n - 1) // 3 * 3 + (n - 1) % 3), max_sum((n - 4) // 3 * 3 + (n - 4) % 3)) + 2
```"
417,Write a function to find common first element in given list of tuple.,"def group_tuples(Input): 
	out = {} 
	for elem in Input: 
		try: 
			out[elem[0]].extend(elem[1:]) 
		except KeyError: 
			out[elem[0]] = list(elem) 
	return [tuple(values) for values in out.values()] ","```python
def common_first_element(tuple_list):
    if not tuple_list:
        return None
    first_elements = [t[0] for t in tuple_list]
    from collections import Counter
    counter = Counter(first_elements)
    max_count = max(counter.values())
    common_elements = [k for k, v in counter.items() if v == max_count]
    return common_elements[0]
```"
418,Write a python function to find the sublist having maximum length.,"def Find_Max(lst): 
    maxList = max((x) for x in lst) 
    return maxList","```python
def find_max_length_sublist(lst):
    max_len = 0
    max_sublst = None
    
    for i in range(len(lst)):
        for j in range(i + 1, len(lst) + 1):
            sublst = lst[i:j]
            
            if len(sublst) > max_len:
                max_len = len(sublst)
                max_sublst = sublst
                
    return max_sublst
```"
419,Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.,"def round_and_sum(list1):
  lenght=len(list1)
  round_and_sum=sum(list(map(round,list1))* lenght)
  return round_and_sum","```python
def round_and_multiply(num_list):
    rounded_nums = [round(num) for num in num_list]
    total_sum = sum(rounded_nums)
    result = total_sum * len(num_list)
    return result
```"
420,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n): 
    sum = 0
    for i in range(1,n + 1): 
        sum += (2*i)*(2*i)*(2*i) 
    return sum","```python
def cube_sum_of_first_n_even_numbers(n):
    return sum(i**3 for i in range(2, 2*n+1, 2))
```"
421,Write a function to concatenate each element of tuple by the delimiter.,"def concatenate_tuple(test_tup):
    delim = ""-""
    res = ''.join([str(ele) + delim for ele in test_tup])
    res = res[ : len(res) - len(delim)]
    return (str(res)) ","```python
def concatenate_tuple_by_delimiter(tuple_to_concatenate, delimiter):
    """"""
    Concatenates each element of a tuple by a specified delimiter.

    Args:
        tuple_to_concatenate (tuple): A tuple containing elements to be concatenated.
        delimiter (str): The delimiter used for concatenation.

    Returns:
        str: A string where all elements from the input tuple are concatenated with the delimiter in between.
    """"""
    return delimiter.join(map(str, tuple_to_concatenate))
```"
422,Write a python function to find the average of cubes of first n natural numbers.,"def find_Average_Of_Cube(n):  
    sum = 0
    for i in range(1, n + 1): 
        sum += i * i * i  
    return round(sum / n, 6) ","```python
def average_of_cubes(n):
    total = sum(i**3 for i in range(1, n+1))
    return total / n
```"
423,Write a function to solve gold mine problem.,"def get_maxgold(gold, m, n): 
    goldTable = [[0 for i in range(n)] 
                        for j in range(m)]   
    for col in range(n-1, -1, -1): 
        for row in range(m):  
            if (col == n-1): 
                right = 0
            else: 
                right = goldTable[row][col+1] 
            if (row == 0 or col == n-1): 
                right_up = 0
            else: 
                right_up = goldTable[row-1][col+1] 
            if (row == m-1 or col == n-1): 
                right_down = 0
            else: 
                right_down = goldTable[row+1][col+1] 
            goldTable[row][col] = gold[row][col] + max(right, right_up, right_down) 
    res = goldTable[0][0] 
    for i in range(1, m): 
        res = max(res, goldTable[i][0])  
    return res ","```python
def max_gold(mine):
    rows = len(mine)
    cols = len(mine[0])
    dp = [[0 for _ in range(cols)] for _ in range(rows)]
    
    # Fill the first row of dp table
    for j in range(cols - 1, -1, -1):
        for i in range(rows):
            if j == cols - 1:
                dp[i][j] = mine[i][j]
            else:
                dp[i][j] = max(dp[(i + 1) % rows][(j + 1)] if (i + 1) < rows else float('-inf'),
                              dp[(i - 1 + rows) % rows][(j + 1)] if (i - 1 + rows) >= 0 else float('-inf'),
                              dp[i][(j + 1)]) + mine[i][j]
    
    # Find the maximum value in the first column
    return max(dp[i][0] for i in range(rows))
```"
424,Write a function to extract only the rear index element of each string in the given tuple.,"def extract_rear(test_tuple):
  res = list(sub[len(sub) - 1] for sub in test_tuple)
  return (res) ","```python
def extract_rear_index_elements(tuple_of_strings):
    if len(tuple_of_strings) == 0:
        raise IndexError(""tuple is empty"")
    
    result = []
    for string in tuple_of_strings:
        if len(string) > 1:
            rear_index_element = next((char for char in string[::-1] if not char.isdigit()), None)
            if rear_index_element:
                result.append(rear_index_element)
            else:
                result.append(""No rear index element found"")
        elif len(string) == 1 and string.isalpha():
            result.append(string)
        else:
            result.append(""No rear index element found"")

    return tuple(result)
```"
425,Write a function to count the number of sublists containing a particular element.,"def count_element_in_list(list1, x): 
    ctr = 0
    for i in range(len(list1)): 
        if x in list1[i]: 
            ctr+= 1          
    return ctr","```python
def count_sublists_with_element(main_list, target):
    count = 0
    for sublist in main_list:
        if isinstance(sublist, list) and target in sublist:
            count += 1
    return count
```
I can modify the function according to your needs."
426,Write a function to filter odd numbers using lambda function.,"def filter_oddnumbers(nums):
 odd_nums = list(filter(lambda x: x%2 != 0, nums))
 return odd_nums","```python
def filter_odd_numbers(numbers):
    return list(filter(lambda x: x % 2 != 0, numbers))
```"
427,Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format by using regex.,"import re
def change_date_format(dt):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)","```python
import re

def convert_date_format(date_str):
    pattern = r""(\d{4})-(\d{2})-(\d{2})""
    replacement = r""\3-\2-\1""
    return re.sub(pattern, replacement, date_str)
```"
428,Write a function to sort the given array by using shell sort.,"def shell_sort(my_list):
    gap = len(my_list) // 2
    while gap > 0:
        for i in range(gap, len(my_list)):
            current_item = my_list[i]
            j = i
            while j >= gap and my_list[j - gap] > current_item:
                my_list[j] = my_list[j - gap]
                j -= gap
            my_list[j] = current_item
        gap //= 2

    return my_list","```python
def shell_sort(arr):
    n = len(arr)
    gap = n // 2
    
    while gap > 0:
        for i in range(gap, n):
            temp = arr[i]
            j = i
            
            while j >= gap and arr[j - gap] > temp:
                arr[j] = arr[j - gap]
                j -= gap
                
            arr[j] = temp
        gap //= 2
        
    return arr
```"
429,Write a function to extract the elementwise and tuples from the given two tuples.,"def and_tuples(test_tup1, test_tup2):
  res = tuple(ele1 & ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res) ","```python
def extract_elements(tup1, tup2):
    elementwise = tuple(map(lambda x: (x[0], x[1]), zip(tup1, tup2)))
    tuples_ = tuple(zip(tup1, tup2))
    return elementwise, tuples_
```"
430,Write a function to find the directrix of a parabola.,"def parabola_directrix(a, b, c): 
  directrix=((int)(c - ((b * b) + 1) * 4 * a ))
  return directrix","```python
def find_directrix(a):
    if a < 0:
        return -1 / (4 * abs(a))
    elif a > 0:
        return 1 / (4 * a)
    else:
        raise ValueError(""Coefficient 'a' cannot be zero"")
```"
431,Write a function that takes two lists and returns true if they have at least one common element.,"def common_element(list1, list2):
     result = False
     for x in list1:
         for y in list2:
             if x == y:
                 result = True
                 return result","```python
def has_common_element(list1, list2):
    return len(set(list1) & set(list2)) > 0
```

or 

```python
def has_common_element(list1, list2):
    return any(element in list2 for element in list1)
```"
432,Write a function to find the median of a trapezium.,"def median_trapezium(base1,base2,height):
 median = 0.5 * (base1+ base2)
 return median","```python
def trapezium_median(base1, base2):
    if base1 <= 0 or base2 <= 0:
        raise ValueError(""Both bases must be positive"")
    median = (base1 + base2) / 2
    return median
```

Note: The above function assumes that the two bases are the only required inputs to calculate the median of a trapezium."
433,Write a function to check whether the entered number is greater than the elements of the given array.,"def check_greater(arr, number):
  arr.sort()
  if number > arr[-1]:
    return ('Yes, the entered number is greater than those in the array')
  else:
    return ('No, entered number is less than those in the array')","```python
def is_greater_than_array(num, array):
    for element in array:
        if num <= element:
            return False
    return True
```
def check_number_in_array(num, array):
    return all(num > element for element in array)
```"
434,Write a function that matches a string that has an a followed by one or more b's.,"import re
def text_match_one(text):
        patterns = 'ab+?'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')
","```
import re

def match_ab(s):
    pattern = r""a(b+)""
    if re.search(pattern, s):
        return True
    else:
        return False
```"
435,Write a python function to find the last digit of a given number.,"def last_Digit(n) :
    return (n % 10) ","```python
def last_digit(num):
    num_str = str(abs(num))
    if len(num_str) == 1:
        return int(num_str)
    else:
        return int(num_str[-1])
```"
436,Write a python function to print negative numbers in a list.,"def neg_nos(list1):
  for num in list1: 
    if num < 0: 
       return num ","```python
def print_negative_numbers(lst):
    for num in lst:
        if isinstance(num, (int, float)) and num < 0:
            print(num)
```

This function takes a list as input and prints each negative number it encounters within the list."
437,Write a function to remove odd characters in a string.,"def remove_odd(str1):
 str2 = ''
 for i in range(1, len(str1) + 1):
    if(i % 2 == 0):
        str2 = str2 + str1[i - 1]
 return str2","```python
def remove_odd_chars(s):
    return ''.join([s[i] for i in range(len(s)) if i % 2 == 0])
```"
438,Write a function to count bidirectional tuple pairs.,"def count_bidirectional(test_list):
  res = 0
  for idx in range(0, len(test_list)):
    for iidx in range(idx + 1, len(test_list)):
      if test_list[iidx][0] == test_list[idx][1] and test_list[idx][1] == test_list[iidx][0]:
        res += 1
  return (str(res)) ","```python
def count_bidirectional_tuple_pairs(pairs):
    pair_counts = {}
    for pair in pairs:
        if (pair[1], pair[0]) in pairs:
            key = tuple(sorted(pair))
            pair_counts[key] = pair_counts.get(key, 0) + 1
    return len(pair_counts)
```"
439,Write a function to convert a list of multiple integers into a single integer.,"def multiple_to_single(L):
  x = int("""".join(map(str, L)))
  return x","```python
def convert_list_to_integer(lst):
    lst.sort()
    num_str = ''.join(map(str, lst))
    return int(num_str)
```"
440,Write a function to find all adverbs and their positions in a given sentence.,"import re
def find_adverb_position(text):
 for m in re.finditer(r""\w+ly"", text):
    return (m.start(), m.end(), m.group(0))","```python
import re
from nltk.corpus import stopwords
from nltk.stem import WordNetLemmatizer

def find_adverbs(sentence):
    lemmatizer = WordNetLemmatizer()
    adverb_positions = {}
    words = sentence.split()
    
    for i, word in enumerate(words):
        word_net_pos_tag = get_wordnet_pos_tag(word)
        
        if 'r' in word_net_pos_tag:
            base_form = lemmatizer.lemmatize(word, pos=word_net_pos_tag)
            
            if base_form.endswith('ly'):
                adverb_positions[word] = i
                
    return adverb_positions


def get_wordnet_pos_tag(word):
    from nltk import pos_tag
    tag = pos_tag([word])[0][1]
    
    if tag.startswith('J'):
        return 'a'
    elif tag.startswith('V'):
        return 'v'
    elif tag.startswith('N'):
        return 'n'
    elif tag.startswith('R'):
        return 'r'
    else:
        return ''
```"
441,Write a function to find the surface area of a cube.,"def surfacearea_cube(l):
  surfacearea= 6*l*l
  return surfacearea","```python
def surface_area_of_cube(side_length):
    if side_length <= 0:
        raise ValueError(""Side length must be a positive number"")
    return 6 * (side_length ** 2)
```"
442,Write a function to find the ration of positive numbers in an array of integers.,"from array import array
def positive_count(nums):
    n = len(nums)
    n1 = 0
    for x in nums:
        if x > 0:
            n1 += 1
        else:
          None
    return round(n1/n,2)","```python
def positive_ratio(numbers):
    total_count = len(numbers)
    if total_count == 0:
        raise ValueError(""Input list is empty"")
    
    positive_count = sum(1 for num in numbers if num > 0)
    
    return positive_count / total_count
```"
443,Write a python function to find the largest negative number from the given list.,"def largest_neg(list1): 
    max = list1[0] 
    for x in list1: 
        if x < max : 
             max = x  
    return max","```python
def find_largest_negative(numbers):
    negative_numbers = [num for num in numbers if num < 0]
    return max(negative_numbers) if negative_numbers else None
```"
444,Write a function to trim each tuple by k in the given tuple list.,"def trim_tuple(test_list, K):
  res = []
  for ele in test_list:
    N = len(ele)
    res.append(tuple(list(ele)[K: N - K]))
  return (str(res)) ","```python
def trim_tuples(tuple_list, k):
    """"""
    Trim each tuple in the given list by k.

    Args:
        tuple_list (list): List of tuples to be trimmed.
        k (int): Number of elements to remove from the start and end of each tuple.

    Returns:
        list: List of trimmed tuples.
    """"""
    return [t[k:-k] for t in tuple_list]
```"
445,Write a function to perform index wise multiplication of tuple elements in the given two tuples.,"def index_multiplication(test_tup1, test_tup2):
  res = tuple(tuple(a * b for a, b in zip(tup1, tup2))
   for tup1, tup2 in zip(test_tup1, test_tup2))
  return (res) ","```python
def index_wise_multiplication(tuple1, tuple2):
    if len(tuple1) != len(tuple2):
        raise ValueError(""Both tuples must have the same length"")
    
    result = []
    for i in range(len(tuple1)):
        result.append(tuple1[i] * tuple2[i])
    
    return tuple(result)
```"
446,Write a python function to count the occurence of all elements of list in a tuple.,"from collections import Counter 
def count_Occurrence(tup, lst): 
    count = 0
    for item in tup: 
        if item in lst: 
            count+= 1 
    return count  ","```python
def count_list_elements_in_tuple(lst, tup):
    element_counts = {}
    for element in lst:
        if isinstance(element, (list, tuple)):
            for sub_element in element:
                element_counts[sub_element] = element_counts.get(sub_element, 0) + tup.count(sub_element)
        else:
            element_counts[element] = element_counts.get(element, 0) + tup.count(element)
    return element_counts
```"
447,Write a function to find cubes of individual elements in a list using lambda function.,"def cube_nums(nums):
 cube_nums = list(map(lambda x: x ** 3, nums))
 return cube_nums","```python
def find_cubes(lst):
    return list(map(lambda x: x**3, lst))
```"
448,Write a function to calculate the sum of perrin numbers.,"def cal_sum(n): 
	a = 3
	b = 0
	c = 2
	if (n == 0): 
		return 3
	if (n == 1): 
		return 3
	if (n == 2): 
		return 5
	sum = 5
	while (n > 2): 
		d = a + b 
		sum = sum + d 
		a = b 
		b = c 
		c = d 
		n = n-1
	return sum","```python
def sum_of_perrin_numbers(n):
    if n < 0:
        raise ValueError(""Input must be a non-negative integer"")
    elif n == 0:
        return 0
    perrin_sequence = [3, 0, 2]
    for i in range(3, n + 1):
        perrin_sequence.append(perrin_sequence[i - 2] + perrin_sequence[i - 3])
    return sum(perrin_sequence[:n + 1])
```"
449,Write a python function to check whether the triangle is valid or not if 3 points are given.,"def check_Triangle(x1,y1,x2,y2,x3,y3): 
    a = (x1*(y2-y3)+x2*(y3-y1)+x3*(y1-y2))   
    if a == 0: 
        return ('No') 
    else: 
        return ('Yes') ","```python
import math

def is_valid_triangle(point1, point2, point3):
    def distance(pointA, pointB):
        return math.sqrt((pointA[0] - pointB[0])**2 + (pointA[1] - pointB[1])**2)

    a = distance(point2, point3)
    b = distance(point1, point3)
    c = distance(point1, point2)

    if a + b > c and a + c > b and b + c > a:
        return True
    else:
        return False
```"
450,Write a function to extract specified size of strings from a give list of string values.,"def extract_string(str, l):
    result = [e for e in str if len(e) == l] 
    return result","```python
def extract_strings(lst, size):
    return [string for string in lst if len(string) == size]
```"
451,Write a function to remove all whitespaces from the given string using regex.,"import re
def remove_whitespaces(text1):
  return (re.sub(r'\s+', '',text1))","```python
import re

def remove_whitespaces(input_string):
    return re.sub(r'\s+', '', input_string)
```"
452,Write a function that gives loss amount if the given amount has loss else return none.,"def loss_amount(actual_cost,sale_amount): 
  if(sale_amount > actual_cost):
    amount = sale_amount - actual_cost
    return amount
  else:
    return None","```python
def calculate_loss(amount):
    if amount < 0:
        return abs(amount)
    else:
        return None
```"
453,Write a python function to find the sum of even factors of a number.,"import math 
def sumofFactors(n) : 
    if (n % 2 != 0) : 
        return 0
    res = 1
    for i in range(2, (int)(math.sqrt(n)) + 1) :    
        count = 0
        curr_sum = 1
        curr_term = 1
        while (n % i == 0) : 
            count= count + 1
            n = n // i 
            if (i == 2 and count == 1) : 
                curr_sum = 0
            curr_term = curr_term * i 
            curr_sum = curr_sum + curr_term 
        res = res * curr_sum  
    if (n >= 2) : 
        res = res * (1 + n) 
    return res ","```python
def sum_of_even_factors(n):
    def is_factor(num, factor):
        if num % factor == 0:
            return True
        else:
            return False

    even_sum = 0
    for i in range(2, n+1):
        if is_factor(n, i) and i % 2 == 0:
            even_sum += i

    return even_sum
```"
454,Write a function that matches a word containing 'z'.,"import re
def text_match_wordz(text):
        patterns = '\w*z.\w*'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","```
import re
def match_word_with_z(word):
    pattern = r'\w*z\w*'
    if re.fullmatch(pattern, word):
        return True
    return False
```"
455,Write a function to check whether the given month number contains 31 days or not.,"def check_monthnumb_number(monthnum2):
  if(monthnum2==1 or monthnum2==3 or monthnum2==5 or monthnum2==7 or monthnum2==8 or monthnum2==10 or monthnum2==12):
    return True
  else:
    return False","```python
def has_31_days(month):
    if month in [1, 3, 5, 7, 8, 10, 12]:
        return True
    else:
        return False
```"
456,Write a function to reverse strings in a given list of string values.,"def reverse_string_list(stringlist):
    result = [x[::-1] for x in stringlist]
    return result","```python
def reverse_strings(string_list):
    return [s[::-1] for s in string_list]
```"
457,Write a python function to find the sublist having minimum length.,"def Find_Min(lst): 
    minList = min((x) for x in lst) 
    return minList","```python
def find_min_length_sublist(main_list):
    if not main_list:
        return None
    
    min_length = float('inf')
    result = []
    
    for sub_list in main_list:
        if isinstance(sub_list, list) and len(sub_list) < min_length:
            min_length = len(sub_list)
            result = [sub_list]
        elif isinstance(sub_list, list) and len(sub_list) == min_length:
            result.append(sub_list)
    
    return result
```"
458,Write a function to find the area of a rectangle.,"def rectangle_area(l,b):
  area=l*b
  return area","```python
def calculate_rectangle_area(length: float, width: float) -> float:
    if length <= 0 or width <= 0:
        raise ValueError(""Length and Width must be positive numbers."")
    area = length * width
    return round(area, 2)
```"
459,Write a function to remove uppercase substrings from a given string by using regex.,"import re
def remove_uppercase(str1):
  remove_upper = lambda text: re.sub('[A-Z]', '', text)
  result =  remove_upper(str1)
  return (result)","```python
import re

def remove_uppercase_substrings(input_string):
    return re.sub('[A-Z]+', '', input_string)
```

This function takes an input string and uses a regular expression to find all uppercase substrings. The `re.sub` function then replaces these substrings with an empty string, effectively removing them from the original string."
460,Write a python function to get the first element of each sublist.,"def Extract(lst): 
    return [item[0] for item in lst] ","```python
def get_first_elements(sublists):
    return [sublist[0] for sublist in sublists]
```"
461,Write a python function to count the upper case characters in a given string.,"def upper_ctr(str):
    upper_ctr = 0
    for i in range(len(str)):
          if str[i] >= 'A' and str[i] <= 'Z': upper_ctr += 1
          return upper_ctr","```python
def count_upper_case_characters(input_string):
    return sum(1 for char in input_string if char.isupper())
```"
462,Write a function to find all possible combinations of the elements of a given list.,"def combinations_list(list1):
    if len(list1) == 0:
        return [[]]
    result = []
    for el in combinations_list(list1[1:]):
        result += [el, el+[list1[0]]]
    return result","```python
import itertools

def find_combinations(input_list):
    result = []
    for r in range(len(input_list) + 1):
        combinations_object = itertools.combinations(input_list, r)
        combinations_list = list(combinations_object)
        result.extend(combinations_list)
    return result
```"
